ts,host,load1,mem_total_mb,mem_avail_mb,swap_used_mb,idle,us,sy,si,so
21:43:32,yggdrasil,8.47,31935,5941,4342,0,0,0,0,720
21:43:33,vm105,0.10,7850,5202,0,0,0,0,0,0
21:43:42,vm102,ERR,,,,,,,,
21:44:11,yggdrasil,8.56,31935,6096,4344,0,0,0,0,0
21:44:13,vm105,0.24,7850,5215,0,0,0,0,0,0
21:44:23,vm102,ERR,,,,,,,,
21:44:53,yggdrasil,8.50,31935,6101,4344,0,3,1,0,0
21:44:54,vm105,0.33,7850,5198,0,0,1,1,0,0
21:45:02,vm102,ERR,,,,,,,,
21:45:32,yggdrasil,8.66,31935,6010,4347,1,0,0,0,0
21:45:33,vm105,0.23,7850,5220,0,0,0,0,0,0
21:45:41,vm102,ERR,,,,,,,,
21:46:10,yggdrasil,8.71,31935,5942,4347,0,0,0,0,732
21:46:12,vm105,0.26,7850,5199,0,0,0,0,0,0
21:46:20,vm102,ERR,,,,,,,,
21:46:49,yggdrasil,8.64,31935,6114,4348,1,0,0,0,0
21:46:51,vm105,0.14,7850,5203,0,0,1,1,0,0
21:47:01,vm102,ERR,,,,,,,,
21:47:31,yggdrasil,7.90,31935,6066,4349,0,0,0,0,0
21:47:32,vm105,0.20,7850,5200,0,0,0,0,0,0
21:47:40,vm102,ERR,,,,,,,,
21:48:09,yggdrasil,7.92,31935,6086,4350,0,0,0,0,0
21:48:11,vm105,0.59,7850,5206,0,0,4,1,0,0
21:48:19,vm102,ERR,,,,,,,,
21:48:48,yggdrasil,6.13,31935,6138,4350,0,0,0,0,3544
21:48:50,vm105,0.46,7850,5197,0,0,1,1,0,0
21:48:58,vm102,ERR,,,,,,,,
21:49:27,yggdrasil,7.11,31935,6132,4354,0,0,0,0,0
21:49:28,vm105,0.29,7850,5199,0,0,0,0,0,0
21:49:36,vm102,ERR,,,,,,,,
21:50:06,yggdrasil,7.85,31935,6151,4355,5,1,1,0,0
21:50:07,vm105,0.31,7850,5210,0,0,1,1,0,0
21:50:15,vm102,ERR,,,,,,,,
21:50:44,yggdrasil,8.08,31935,6130,4355,1,0,0,0,0
21:50:46,vm105,0.47,7850,5199,0,3,0,0,0,0
21:50:54,vm102,ERR,,,,,,,,
21:51:23,yggdrasil,8.44,31935,6172,4357,1,0,0,20,0
21:51:25,vm105,0.31,7850,5199,0,2,0,1,0,0
21:51:33,vm102,ERR,,,,,,,,
21:52:02,yggdrasil,8.36,31935,6073,4357,0,0,0,0,0
21:52:04,vm105,0.44,7850,5214,0,2,1,1,0,0
21:52:12,vm102,ERR,,,,,,,,
21:52:41,yggdrasil,8.56,31935,6175,4357,0,0,0,0,0
21:52:43,vm105,0.31,7850,5214,0,0,0,0,0,0
21:52:51,vm102,ERR,,,,,,,,
21:53:20,yggdrasil,8.58,31935,6137,4357,0,0,0,0,0
21:53:21,vm105,0.16,7850,5200,0,0,0,1,0,0
21:53:29,vm102,ERR,,,,,,,,
21:53:59,yggdrasil,8.56,31935,6055,4359,0,5,1,0,0
21:54:00,vm105,0.15,7850,5196,0,0,0,0,0,0
21:54:08,vm102,ERR,,,,,,,,
21:54:38,yggdrasil,8.80,31935,6167,4360,0,0,1,0,0
21:54:39,vm105,0.19,7850,5197,0,0,5,3,0,0
21:54:50,vm102,ERR,,,,,,,,
21:55:19,yggdrasil,8.74,31935,6145,4361,0,0,2,0,0
21:55:21,vm105,0.10,7850,5207,0,0,3,2,0,0
21:55:29,vm102,ERR,,,,,,,,
21:55:58,yggdrasil,8.45,31935,6144,4361,12,6,1,0,0
21:55:59,vm105,0.63,7850,5213,0,1,0,0,0,0
21:56:07,vm102,ERR,,,,,,,,
21:56:37,yggdrasil,8.41,31935,6135,4364,1,0,0,0,0
21:56:38,vm105,0.64,7850,5215,0,0,0,0,0,0
21:56:46,vm102,ERR,,,,,,,,
21:57:15,yggdrasil,8.33,31935,6201,4365,0,1,1,0,0
21:57:17,vm105,0.32,7850,5197,0,0,0,0,0,0
21:57:25,vm102,ERR,,,,,,,,
21:57:54,yggdrasil,8.46,31935,6161,4366,0,0,0,0,0
21:57:56,vm105,0.29,7850,5199,0,1,0,0,0,0
21:58:04,vm102,ERR,,,,,,,,
21:58:33,yggdrasil,9.40,31935,6115,4368,0,0,0,0,0
21:58:35,vm105,0.21,7850,5206,0,3,0,0,0,0
21:58:45,vm102,ERR,,,,,,,,
21:59:15,yggdrasil,8.80,31935,6170,4368,0,3,1,0,0
